© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C5C2_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
PI3K Signaling in B Lymphocytes	-0E00	1.5	3.17E-02	ATF5,ATF6B,CALM2,CALML5,CBL,DAPP1,IRS2,ITPR2,JUN,KRAS,MAPK1,NFAT5,NFKBIB,PLCB3,PLCD3,PLCE1,PPP3R1,RRAS,RRAS2	
PKCθ Signaling in T Lymphocytes	-0E00	2.7136021011998728	2.14E-02	HLA-B,ITPR2,JUN,KRAS,MAPK1,MAPK8,NFAT5,NFKBIB,PPP3R1,RAC2,RRAS,RRAS2	
Paracetamol ADME	-0E00		3.45E-02	GSTP1	
Peroxisomal lipid metabolism	-0E00		3.45E-02	SCP2	
Peroxisomal protein import	-0E00		3.12E-02	ECH1,SCP2	
Phospholipase C Signaling	-0E00	2.0647416048350555	2.93E-02	ARHGEF10,CALM2,CALML5,GNB1,GNB1L,GNB4,GNG12,GNG5,HDAC1,HDAC3,ITGA2,ITGA3,ITGA6,ITGAV,ITGB4,ITGB5,ITPR2,KRAS,MAPK1,MPRIP,MYL12A,NFAT5,PEBP1,PLCB3,PLCD3,PLCE1,PPP3R1,RAC2,RHOB,RHOD,RND3,RRAS,RRAS2	
Phospholipases	-0E00		4.00E-02	PLCB3,PLCD3,PLCE1	
Phototransduction Pathway	-0E00		3.57E-02	GNB1,PRKACB	
Post-translational modification: synthesis of GPI-anchored proteins	-0E00		2.15E-02	LY6D,LY6E	
Potassium Channels	-0E00	2.0	3.88E-02	GNB1,GNB4,GNG12,GNG5	
Primary Immunodeficiency Signaling	-0E00		1.59E-02	IL7R	
Puberty Induction Signaling Pathway	-0E00		2.38E-02	CEBPB,PLCB3	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00		2.27E-02	CMPK1	
