© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C6C8_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C6C8_vs_MPV_lfc
Date	Mon Aug 10 09:59:06 PDT 2026
Analysis ID	43603595

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C6C8_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Erythrocytes take up carbon dioxide and release oxygen	-0E00		7.69E-02	CYB5R1	
Ethanol Degradation II	-0E00		5.56E-02	ALDH1B1,ALDH2	
Ethanol Degradation IV	-0E00		7.69E-02	ALDH1B1,ALDH2	
Exocyst Signaling Pathway	-0E00	-1.6329931618554523	4.33E-02	ARF6,ARPC1A,ARPC1B,ARPC3,ARPC5L,CDC42,EXOC1,EXOC2,EXOC5,GOSR1,GPAA1,IQGAP1,NAPG,NFKB1,PARD3,PRKCA,PRKCE,PRKCI,RAB3IP,RAB8A,STX16,USP33,VAMP3,YKT6	
FAK Signaling	-0E00	0.36650833306891567	6.57E-02	ACVR2B,ADGRF1,ADGRF5,ADGRG1,ADORA2B,ADRB2,ARHGEF7,ARPC1A,ARPC1B,ARPC3,ARPC5L,BCAR3,CAPN2,CAPN5,CCRL2,CMKLR2,EFNA1,EFNB2,ELF1,ETS1,ETS2,F2RL1,FZD1,FZD7,GPR161,GPR68,GPR89A,GPRC5A,GPRC5B,HTR7,IL10RB,IL13RA1,IL15RA,IL27RA,IL6ST,IL7R,ITGA3,ITGA5,ITGA6,ITGB2,ITGB5,LGR4,LPAR1,MAPK8,MAPKAPK5,MET,MYC,NEDD9,NFKB1,NRAS,P2RY2,PIK3CD,PLCG1,PTEN,PXN,RAP2A,RASA1,RB1CC1,RRAS,SDCBP,SOCS7,TCF3,TGFB2,TGFBR2,TGFBR3,TP53,VIPR1,WASL	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	-0E00		3.33E-02	FOXO3	
Fanconi Anemia Pathway	-0E00		7.89E-02	MUS81,RPA1,UBC	
Fatty Acid Activation	-0E00		6.67E-02	ACSL5	
Fatty Acid α-oxidation	-0E00		9.09E-02	ALDH1B1,ALDH2	
FcγRIIB Signaling in B Lymphocytes	-0E00	0.4472135954999579	1.13E-02	ITPR3,MAPK8,NRAS,PIK3CD,RAP2A,RRAS	
Fertilization	-0E00		3.85E-02	CD9	
Formation of axial mesoderm	-0E00		7.14E-02	YAP1	
G Protein Signaling Mediated by Tubby	-0E00	0.0	2.13E-02	GNA15,GNAI1,GNAI2,GNAI3,GNAS,GNG11,MYC,NAMPT,PLCB3,PLCG1	
G alpha (i) signalling events	-0E00	1.0	6.20E-02	ANXA1,APP,C3,CXCL1,CXCL16,CXCL8,GNAI1,GNAI2,GNAI3,GNAS,GNG11,GPSM2,LPAR1,RGS10,RGS12,SAA1	
G alpha (q) signalling events	-0E00	0.9045340337332909	6.32E-02	ANXA1,APP,EDN1,F2RL1,GNA15,GNG11,GPR68,LPAR1,P2RY2,PLCB3,SAA1	
G alpha (s) signalling events	-0E00	-0.8320502943378437	8.97E-02	ADM,ADORA2B,ADRB2,ARRB2,GNAI1,GNAI2,GNAI3,GNAS,GNG11,HTR7,PDE7B,RAMP1,VIPR1	
G-protein beta:gamma signalling	-0E00		9.38E-02	CDC42,GNG11,PLCB3	
GABA Receptor Signaling	-0E00		8.96E-02	AP2S1,APBB1IP,GAD1,GNA15,GNAI1,GNAI2,GNAI3,GNAS,GNG11,ITPR3,UBC,UBQLN1	
GABA receptor activation	-0E00	-1.0	6.67E-02	GNAI1,GNAI2,GNAI3,GNG11	
GABAergic Receptor Signaling Pathway (Enhanced)	-0E00	0.9045340337332909	7.86E-02	GAD1,GLUD1,GNAI1,GNAI2,GNAI3,GNG11,GOT1,GRINA,ITPR3,PRKACB,SLC38A2	
GP1b-IX-V activation signalling	-0E00		8.33E-02	YWHAZ	
GPVI-mediated activation cascade	-0E00		8.57E-02	CDC42,PTPN11,RHOB	
Generic Transcription Pathway	-0E00	-1.1470786693528088	4.66E-02	CCNC,HDAC6,KRABD4,MED14,MED15,MED27,MED4,NOTCH2,RBPJ,RXRB,ZKSCAN1,ZNF114,ZNF133,ZNF184,ZNF215,ZNF37A,ZNF587,ZNF605,ZNF678,ZNF706	
Germ layer formation at gastrulation	-0E00		5.88E-02	BMP4	
Glutamate Receptor Signaling	-0E00		7.35E-02	CALM1,GNG11,GRINA,HOMER1,SLC38A1	
Glutaryl-CoA Degradation	-0E00		6.25E-02	HADH	
Glutathione-mediated Detoxification	-0E00		5.77E-02	GSTM3,GSTZ1,PTGES	
Glycogen Degradation II	-0E00		9.09E-02	PYGL	
Glycogen Degradation III	-0E00		7.69E-02	PYGL	
Glyoxylate metabolism and glycine degradation	-0E00		5.26E-02	DLD	
Graft-versus-Host Disease Signaling	-0E00		1.56E-02	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,IL1A,IL6	
Granulocyte Adhesion and Diapedesis	-0E00		8.78E-02	C3,CCRL2,CD99,CLDN4,CXCL1,CXCL16,CXCL8,EZR,GNAI1,GNAI2,GNAI3,ICAM1,IL1A,IL1RAP,ITGB2,MMP1,SDC2,SDC4	
Gustation Pathway	-0E00	0.0	4.29E-02	ABHD11,ITPR3,LRRC8A,LRRC8C,P2RX5,P2RY2,PANX1,PRKACB,SCN5A	
Hematopoiesis from Pluripotent Stem Cells	-0E00		1.56E-02	CSF1,CSF2,CXCL8,IL1A,IL6,KITLG,LIF	
Histamine Degradation	-0E00		8.70E-02	ALDH1B1,ALDH2	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	0.9045340337332909	3.31E-02	CALM1,CAMK2D,CD40,HLA-A,HLA-B,HLA-DRA,IKBKE,IKBKG,ITPR3,NFATC2,NFKB1,NFKBIB,PIK3CD,PLCG1,PLEKHA2,PTEN,RELB	
ID3 Signaling Pathway	-0E00	1.091089451179962	2.47E-02	ANAPC11,ANAPC15,ANAPC16,ANAPC5,ANAPC7,BMP4,CCND3,CDC16,CDC27,CLOCK,CXCL1,CXCL8,EFNB2,ID3,IL6,MYC,NRAS,OCLN,RAP2A,RRAS,RUNX2,SMAD5,TCF3,TGFB2	
IL-15 Signaling	-0E00	1.8973665961010275	2.09E-02	CSF2,CXCL8,IL15RA,MYC,NFKB1,NRAS,PIK3CD,RAP2A,RELB,RRAS,STAT3	
IL-4 Signaling	-0E00	1.1766968108291043	4.69E-02	ATF4,COL12A1,COL18A1,COL27A1,COL4A1,COL4A2,COL5A1,COL6A1,COL7A1,COL8A1,CREB3L2,GNAI1,GNAI2,GNAI3,HLA-DRA,IL13RA1,IRS2,MAOA,NFATC2,NFKB1,NRAS,PIK3CD,RAP2A,RRAS,STAT3,TGFB2,TIMP3	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	-0.24253562503633297	2.80E-02	C3,CD40,CD99,CXADR,HLA-A,HLA-B,HLA-C,HLA-E,HLA-H,ICAM1,IFITM1,ITGA3,ITGB2,MICA,MICB,NPDC1,PVR	
Integrin signaling	-0E00		7.41E-02	APBB1IP,FN1	
Intrinsic Prothrombin Activation Pathway	-0E00		4.65E-02	COL18A1,THBD	
Keratinization	-0E00	0.5773502691896258	5.56E-02	DSG2,FLG,JUP,KAZN,KRT10,KRT15,KRT18,KRT7,KRT80,KRT81,PERP,PKP4	
Ketogenesis	-0E00		8.33E-02	HMGCS1	
Leukotriene Biosynthesis	-0E00		6.67E-02	LTA4H	
Lipid Antigen Presentation by CD1	-0E00		4.82E-03	AP2S1,ARF6	
Lung Ionic Balance Signaling Pathway	-0E00	0.0	8.52E-02	ABCC4,ADGRF1,ADGRF5,ADGRG1,ADORA2B,ADRB2,ATP1A1,ATP1B1,CCRL2,CMKLR2,CPOX,CXCL8,F2RL1,FZD1,FZD7,GDPD5,GNAS,GPR161,GPR68,GPR89A,GPRC5A,GPRC5B,HTR7,IL1A,LGR4,LPAR1,NEDD4,OCLN,P2RY2,PANX1,PLCB3,PLCD3,PLCG1,PPP2R5C,PPP2R5D,PRKACB,PRKCA,PRKCE,PRKCI,ROCK1,SMPD1,TNFSF10,VDAC1,VIPR1,YES1	
MSP-RON Signaling Pathway	-0E00		8.06E-02	ACTB,CSF1,ITGB2,PIK3CD,TLR4	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00		5.13E-02	APOL1,APOO,KLF11,NFKB1	
Melatonin Degradation I	-0E00		3.53E-02	CYP1B1,CYP2U1,EXT2	
NAD Phosphorylation and Dephosphorylation	-0E00		9.09E-02	NNT	
NAD Salvage Pathway II	-0E00		4.35E-02	NT5E	
NF-κB Signaling	-0E00	-1.3471506281091268	4.90E-02	ARAF,BMP4,CD40,CSNK2B,FGFR1,IKBKG,IL1A,IRAK1,MAP3K1,MAP3K3,MAP4K4,MAPK8,NFKB1,NFKBIB,NRAS,PIK3CD,PRKACB,RAP2A,RELB,RRAS,TAB2,TAB3,TANK,TGFA,TGFBR2,TGFBR3,TLR4,TNIP1	
NF1 RAS Signaling Pathway	-0E00	-0.7293249574894728	8.74E-02	ADGRF1,ADGRF5,ADGRG1,ADORA2B,ADRB2,CAV1,CCRL2,CMKLR2,CSF2,CSF2RA,DPYSL2,F2RL1,FGFR1,FZD1,FZD7,GNG11,GPR161,GPR68,GPR89A,GPRC5A,GPRC5B,HTR7,LGR4,LPAR1,NRAS,P2RY2,PIK3CD,PRKACB,PRKCA,PRKCE,PRKCI,PTPN11,RAP2A,ROCK1,RRAS,SDC2,SPRED1,TGFA,TGFB2,TGFBR2,TGFBR3,TIAM1,VASP,VIPR1,YWHAB,YWHAE,YWHAZ	
NFE2L2 regulating tumorigenic genes	-0E00		9.09E-02	NFE2L2	
NFKBIE Signaling Pathway	-0E00	0.5773502691896258	2.67E-02	ANKRD52,CD40,CXCL8,IKBKE,IKBKG,MAP3K3,NFKB1,NFKBIB,PPP6C,RELB,TNFSF10,TNFSF13	
NUR77 Signaling in T Lymphocytes	-0E00	-0.8164965809277261	2.50E-02	CALM1,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,MAP3K3,MR1,PCNA,PRKCA,PRKCE,PRKCI,TNFSF10	
Nephron development	-0E00		7.69E-02	WT1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	-0.4472135954999579	8.21E-02	APP,ECE2,HLA-A,HLA-B,HLA-C,HLA-E,HTRA1,PRKACB,PRSS12,TPP1,YWHAE	
Neurotransmitter release cycle	-0E00		7.50E-02	CASK,MAOA,SLC38A2	
Neurovascular Coupling Signaling Pathway	-0E00	0.0	6.38E-02	ADORA2B,APP,CALM1,GAD1,GRINA,ITPR3,MPRIP,PLAAT4,PLCB3,PNPLA2,PPP1CB,PPP1CC,PRKACB,PTGR2,ROCK1	
Nicotine Degradation II	-0E00	0.0	4.71E-02	AOX1,CYP1B1,CYP2U1,EXT2	
Nicotine Degradation III	-0E00	0.0	5.41E-02	AOX1,CYP1B1,CYP2U1,EXT2	
Noradrenaline and Adrenaline Degradation	-0E00		7.69E-02	ALDH1B1,ALDH2,MAOA	
OX40 Signaling Pathway	-0E00		1.87E-02	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,MAPK8,NFKB1,NFKBIB,RELB	
Oxidative Ethanol Degradation III	-0E00		4.62E-02	ALDH1B1,ALDH2,CYP2U1	
Oxytocin in Spinal Neurons Signaling Pathway	-0E00		8.57E-02	GAD1,GNAI3,PLCB3	
PI3K Signaling in B Lymphocytes	-0E00	1.4596008983995234	5.01E-02	ATF3,ATF4,C3,CALM1,CAMK2D,CBL,CD40,ELK1,FOXO3,GDPD5,IKBKE,IKBKG,IRS2,ITPR3,NFATC2,NFKB1,NFKBIB,NRAS,PIK3CD,PLCB3,PLCD3,PLCG1,PLEKHA2,PRKCI,PTEN,RAP2A,RELB,RRAS,SMPD1,TLR4	
