	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
PEX14	-0.0010823162093496486	0.9960830816041912	0.035237565012730364	0.8732968220541125	-0.03848227123348498	0.8734723857738449	0.015915502269639333	0.9459333427710368	conserved
ARSJ	0.10747582786585023	0.5655280388853938	0.12430490979283695	0.4997462218014557	-0.008921886488444476	0.9734774520281807	0.11626796742111367	0.4442218287884493	conserved
OAS1	-0.07534763654559443	0.7067026452418038	-0.2643467586850003	0.1337424161991438	0.14098523520573517	0.42897424278581997	-0.15168798570722336	0.3044132779230433	conserved
FGFR3	-0.10781265333791572	0.5610537517115857	-0.16055009353649383	0.3683962969063195	0.035608670397735354	0.8855758124494507	-0.13112165631802983	0.38189949234481096	conserved
TUT1	-0.08743269535869443	0.6467789731379263	2.3597813050575502e-05	0.9997694234489831	-0.09761734371424108	0.6131032612139599	-0.040033919506327884	0.8296313160500137	conserved
EPB41	-0.12383354822780335	0.4878666478227178	-0.03416150224286981	0.8772855057804401	-0.09182337964492229	0.6393170530640547	-0.07287541405120068	0.6539586033356101	conserved
CENPL	-0.02124189021491676	0.9319389855847319	0.011722812507499925	0.9626970104920403	-0.036066818371203936	0.8842148940643948	-0.004775227161609786	0.9835042794561112	conserved
FKBPL	0.026181244844485814	0.9177703107461284	-0.13057702777699234	0.4737967627427524	0.17999772767265038	0.31673407296947137	-0.04091115324110663	0.8288461667709011	conserved
FAM160B1	-0.00738712955690229	0.9761072567233525	0.1690170053486476	0.3301260509031964	-0.19911818175788687	0.2728395851424733	0.0690807126726988	0.6705948164426591	conserved
PBXIP1	-0.23597569391810494	0.17367884128371192	-0.09211152691678393	0.6018251793200015	-0.1020813225557793	0.5826874213960425	-0.14884609071673074	0.2898047542922084	conserved
LOC102723631	-0.039929259101583015	0.8679665445887172	0.06720377348364628	0.7448514348506154	-0.1222133681976385	0.5080335704029519	0.012031125388940666	0.9617914528636969	conserved
AUNIP	0.01827410397083389	0.9426072327617222	-0.006082037739668387	0.9813017392137307	0.02659812742086049	0.9187439614391202	0.006126614013612305	0.979544597608075	conserved
PGBD1	0.02432365070058383	0.9199492508262076	-0.025452278790932554	0.9091120722503798	0.055742626963071445	0.794377915591918	0.00035684249001999047	0.9993811826024898	conserved
SECISBP2L	-0.16723692095700873	0.31519294102856577	0.008964406839869515	0.9690102208089887	-0.2065920637625671	0.24248047306118745	-0.05994176491710641	0.6980118749575398	conserved
INPPL1	0.05567729205091111	0.7741406041458767	0.016827458260950234	0.9381331762478268	0.044089802282275915	0.8386221990449776	0.035249928331404355	0.8418300978882882	conserved
SIK3	0.4494639941178488	0.03956834575867033	0.12320930226759401	0.48276082002344584	0.1639163696242073	0.3511321188840112	0.27811360939836066	0.08626040333445767	conserved
MTRNR2L1	0.14637770895592997	0.3985565613982429	-0.1294144312701231	0.4738065320107626	0.4560831536583748	0.03326686302287205	0.012000390287015788	0.9609490881591904	additive
DIRC2	0.16827701765301897	0.32994183722795833	0.13155849987613671	0.4628168390547826	0.030906357523367428	0.9008003929355076	0.15591135274719597	0.2926248547664041	conserved
DENND4C	0.004849947227028666	0.9839200370046636	0.12728378742739158	0.46653305686374247	-0.13087690866179041	0.46972942657885797	0.05944725991548819	0.7193346102511085	conserved
SRD5A1	-0.04920212023265598	0.8165600150309662	-0.09684613480016328	0.6014817892062316	0.04260502816110754	0.8530711427216139	-0.06848194832912427	0.6687455280339357	conserved
MKS1	-0.018479640966663477	0.942592180992041	-0.021334984769953946	0.927166420832329	0.0020610922047352314	0.9940541353419305	-0.018962806352607792	0.9342107387744619	conserved
DDX28	0.026571745498034264	0.9157982601829981	-0.10199867762846963	0.5901175707023759	0.14861875378097728	0.41222946483196593	-0.029915172910334492	0.8767020811948705	conserved
TTC28-AS1	0.06220135786631182	0.7522526041751546	0.19196953171692982	0.2565159528709644	-0.1059284027184944	0.565628760272042	0.12236665216603002	0.40251882636272607	conserved
