	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
FZD3	-0.11840321225744886	0.6742158114292452	-0.09235189547317992	0.7516207354700478	-0.01325652460789649	0.9650617673646227	-0.11535146960077232	0.6544159829417078	conserved
WDR47	0.15218074845414573	0.5753959195271453	-0.09702842569688122	0.7386344282945675	0.18408427714027342	0.3651633473244195	0.030908432280961514	0.9142845423546967	conserved
ZNF30	0.010748049112205288	0.9774312097583782	0.08250934185326529	0.780182306611315	-0.04931395476104503	0.8426237489807458	0.053256122650116006	0.8508556941985214	conserved
OR7E37P	0.16554139761153996	0.5414580759889386	-0.008688360355523528	0.9764109368803705	0.11701803309210573	0.5835875611526399	0.08563756824091617	0.756799030018938	conserved
ZNF646	0.003551576187054348	0.9924970178813033	0.10797438357640789	0.7006322803656557	-0.07144986692943212	0.7561969022801313	0.06426025328206106	0.8219839750315363	conserved
RRAGB	-0.036785916141604265	0.9166264418959444	0.05312109880277953	0.866567972465072	-0.062408959026870214	0.807368388991982	0.010999086183086452	0.9719729949245056	conserved
CTDP1	0.16152422357478932	0.5537918862150064	0.04625083139886981	0.8829115177734518	0.07226726513844947	0.7597493644476075	0.11456526444495657	0.6604351914423612	conserved
RP11-890B15.2	-0.6362711381635264	0.02614060095003746	-0.4003310479672701	0.11026817419286551	-0.07409728562951856	0.7556532636862426	-0.5491168825775937	0.027657596313796308	fusion-altered
ARSD	-1.0254976388982557	0.003678769938207544	-0.1374774717180549	0.6089021866126838	-0.47352945475231956	0.05314461804861006	-0.43829483034826416	0.06127860632822898	conserved
LINC00960	-0.2194910141364605	0.409822580385405	-0.42533270381154015	0.09081892837448609	0.12041381077407902	0.5962038923727976	-0.3362877952214858	0.1360054929916058	conserved
MAP3K5	-0.11684494064840062	0.6765058192381725	-0.5296574228511212	0.04704599608417853	0.2529330707886763	0.22327460011355535	-0.30569518473862717	0.17735145557191356	conserved
LIPH	0.36341489477814776	0.15258015219551474	0.04368729381027414	0.8899729083462629	0.2101390353286637	0.2980319534890507	0.21846377915228596	0.3482415567703335	conserved
