image_name,cell_number,slide_alpha,cell_slide_replicate,count,notes,clone,week,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.c.4.tif,19,c,4,37,,1806_19,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.b.1.tif,25,b,1,29,,1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.b.2.tif,25,b,2,64,,1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.b.3.tif,25,b,3,41,,1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.b.4.tif,25,b,4,44,"some nearby chromosomes, unclear if part of spread",1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.c.1.tif,25,c,1,37,,1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.c.2.tif,25,c,2,19,,1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.c.3.tif,25,c,3,19,,1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_25cell.c.4.tif,25,c,4,,,1806_25,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.a.1.tif,26,a,1,12,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.a.2.tif,26,a,2,42,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.a.3.tif,26,a,3,,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.b.1.tif,26,b,1,7,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.c.1.tif,26,c,1,49,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.c.2.tif,26,c,2,48,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.c.3.tif,26,c,3,45,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.c.4.tif,26,c,4,,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.c.5.tif,26,c,5,23,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_26cell.c.6.tif,26,c,6,49,,1806_26,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.a.1.tif,27,a,1,74,,1806_27,0,,,,,,,,,,,,,,,,,,,,
